,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,7.160040044784546,0.5128889870657033,0.03945736885070801,0.014596107563559486,200,100,500,auto,,False,"{'n_estimators': 200, 'min_samples_split': 100, 'min_samples_leaf': 500, 'max_features': 'auto', 'max_depth': None, 'bootstrap': False}",-0.9247819752097969,-0.9132745153162672,-0.9300664286434359,-0.9215377702047277,-0.9533998803479375,-0.928612113944433,0.013538881994250664,69,-0.9185273193008848,-0.9204432586847868,-0.9114231091951757,-0.9155821909801753,-0.9189551581253295,-0.9169862072572703,0.003197571584159685
1,31.089356708526612,0.8464491758729816,0.20133543014526367,0.026922073169153793,400,10,5,auto,20,True,"{'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'auto', 'max_depth': 20, 'bootstrap': True}",-0.650298524817506,-0.6413231876807234,-0.6488140797606526,-0.646184347486197,-0.623098508873676,-0.641943729723751,0.009904691524834343,3,-0.30496894730822244,-0.31247009148898147,-0.3068259573645813,-0.31177753046810547,-0.31087145458767873,-0.3093827962435139,0.0029496350649245865
2,11.417148160934449,0.5338589230957536,0.30446586608886717,0.03085390269707564,1800,1000,50,sqrt,110,True,"{'n_estimators': 1800, 'min_samples_split': 1000, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 110, 'bootstrap': True}",-0.9223715214047633,-0.924592953524605,-0.9739639637141727,-0.9356354186425815,-0.933924831693243,-0.938097737795873,0.01865237466260015,78,-0.9307309394356773,-0.929224132460742,-0.9209080788795936,-0.9302980758076792,-0.9264782190568451,-0.9275278891281076,0.0036258627095034995
3,100.59589672088623,2.2393192709031395,0.5805051326751709,0.09559709653793859,2000,2,50,auto,100,True,"{'n_estimators': 2000, 'min_samples_split': 2, 'min_samples_leaf': 50, 'max_features': 'auto', 'max_depth': 100, 'bootstrap': True}",-0.7210855659774179,-0.7171741448391239,-0.7365621950054356,-0.7336757143048825,-0.7177966205086576,-0.7252588481271036,0.00821063747941159,23,-0.6599636851544294,-0.6660307367155935,-0.6541573777764151,-0.6651965847095843,-0.6604235865620605,-0.6611543941836165,0.004266805060275179
4,41.999385023117064,1.6896266844882093,1.0144773483276368,0.0602562578383291,1400,10,1,sqrt,60,False,"{'n_estimators': 1400, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 60, 'bootstrap': False}",-0.656571699771398,-0.6301618402693663,-0.6653728477202441,-0.6436812703703853,-0.6288580788991166,-0.644929147406102,0.014362476863245308,5,-0.15088861238359272,-0.14908527146033013,-0.14849580561668577,-0.14941833655669592,-0.15123691708979578,-0.14982498862142007,0.001058689033427471
5,2.8833944320678713,0.11437785626409727,0.07613024711608887,0.014596735403656594,400,2,500,sqrt,70,False,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 500, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",-0.9729484262458236,-0.9754405896716287,-1.021445665213817,-0.9740030326456065,-0.969437467036773,-0.98265503616273,0.019496362301161512,92,-0.9837388655969891,-0.9810376400055898,-0.9678074870579434,-0.9680918731327295,-0.9662725702419698,-0.9733896872070444,0.007422638637585181
6,21.15822081565857,1.1300611493612494,0.4517346382141113,0.028992504035215846,2000,1000,1,sqrt,30,False,"{'n_estimators': 2000, 'min_samples_split': 1000, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",-0.8770206409452058,-0.8765472110711451,-0.9218192607646023,-0.8886280898153585,-0.8860351735890901,-0.8900100752370804,0.01661028672548857,52,-0.8732430697131043,-0.8747075897603813,-0.8648217133160583,-0.8732817324828683,-0.87107436628027,-0.8714256943105365,0.0035001304305698057
7,1.063618040084839,0.038745056329893945,0.03510236740112305,0.005132571968106372,200,10,500,sqrt,20,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 500, 'max_features': 'sqrt', 'max_depth': 20, 'bootstrap': True}",-1.0195475673787477,-1.0250849652618848,-1.0851856596329184,-1.0216054548174194,-1.0240769394439777,-1.0351001173069896,0.025117177372254364,94,-1.0370811581138226,-1.033473911774733,-1.0275968869822794,-1.0212133558318417,-1.0285403066339858,-1.0295811238673322,0.005411919249500053
8,4.105896997451782,0.1636150927698403,0.11424455642700196,0.010917553195313758,400,2,50,sqrt,50,True,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 50, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",-0.8122757331747056,-0.8079501044909553,-0.8453447748743874,-0.8173797251914203,-0.816903832849306,-0.8199708341161549,0.013142828698984333,45,-0.7859574419509915,-0.7899906938844193,-0.7770068160378404,-0.7851067319509403,-0.7816130610602154,-0.7839349489768814,0.004370944727913521
9,95.25266094207764,2.0410274674884357,0.4028785705566406,0.02801797286651267,2000,1000,50,auto,70,False,"{'n_estimators': 2000, 'min_samples_split': 1000, 'min_samples_leaf': 50, 'max_features': 'auto', 'max_depth': 70, 'bootstrap': False}",-0.8650345932838939,-0.9143430002057091,-0.9176215378669903,-0.8979056993662002,-0.9104995680589356,-0.9010808797563458,0.01922293129495098,57,-0.8762140982650731,-0.8869556865105154,-0.8714352571585614,-0.8937340200969289,-0.872770732240594,-0.8802219588543345,0.008679962424043192
