,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,83.52475390434265,1.2804271980887494,0.4398343563079834,0.027721019929927804,True,60,auto,1,80,1200,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 1200}",-0.6796157336389979,-0.670009597495487,-0.6862414529663191,-0.6900777341095045,-0.6703062271361108,-0.6792501490692839,0.008144078990238435,12,-0.5314784124731516,-0.5275664573232794,-0.5201117655425093,-0.5294924657296919,-0.5260042528009324,-0.526930670773913,0.0038731044734251637
1,108.49168519973755,2.904464600899856,0.5521668434143067,0.02996539369469655,True,60,auto,1,80,1600,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 1600}",-0.6799112227577138,-0.6693201729169852,-0.6840762576187049,-0.6909516400092377,-0.6705650775519456,-0.6789648741709174,0.00817656672667033,5,-0.5316524751162326,-0.5274148440563425,-0.5199457010515098,-0.5295895448252484,-0.5261084463557898,-0.5269422022810246,0.0039765477835378114
2,134.2604118347168,3.6017661709635718,0.6832337379455566,0.04405565223220641,True,60,auto,1,80,2000,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 2000}",-0.6789642083199873,-0.668956682417241,-0.6850443128644135,-0.6911268061093945,-0.6702214670500359,-0.6788626953522144,0.008502129515037534,4,-0.5314582956631029,-0.5276190122494733,-0.5199114573187528,-0.5291315994559055,-0.5261952796609012,-0.526863128869627,0.0038885636489951326
3,163.6851845741272,2.6600666078749478,0.8196877479553223,0.05236885969866107,True,60,auto,1,80,2400,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 80, 'n_estimators': 2400}",-0.680611570634773,-0.6706574130027134,-0.6844192666792388,-0.6908323832387914,-0.6699896706424169,-0.6793020608395867,0.008028692216626089,17,-0.5312355095071074,-0.5277241019144153,-0.5199394430543759,-0.5290792059240592,-0.5268948816541915,-0.5269746284108299,0.003811725522732226
4,77.00748248100281,2.1758366298341723,0.41183156967163087,0.037086430223647306,True,60,auto,1,100,1200,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 100, 'n_estimators': 1200}",-0.6872708178192953,-0.6783970477528783,-0.6927961883968216,-0.7001360257166559,-0.6787452045313371,-0.6874690568433977,0.00833398677507186,49,-0.5610860537996558,-0.5580802829748255,-0.5503445565475381,-0.5589568095303785,-0.5556821147778821,-0.5568299635260561,0.0036763878329903596
5,103.97051081657409,1.3415848040357055,0.6077110290527343,0.08765796446541144,True,60,auto,1,100,1600,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 100, 'n_estimators': 1600}",-0.6886486093521643,-0.6780766007647616,-0.693039192206512,-0.7004257903448907,-0.6793420099458071,-0.6879064405228271,0.008409581382716443,62,-0.5600889436539733,-0.5576281326367533,-0.5509224258469851,-0.5593527312511796,-0.5566054417550234,-0.556919535028783,0.0032413478240744904
6,135.98643827438354,2.5210807552928456,0.7343565940856933,0.10198032782654033,True,60,auto,1,100,2000,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 100, 'n_estimators': 2000}",-0.6888946459132975,-0.6783150043124729,-0.6937108289987504,-0.7002220534121136,-0.6801840702086328,-0.6882653205690535,0.008213750345863835,77,-0.5600438285429954,-0.5574356771161832,-0.5501460448110975,-0.5597926559986377,-0.5563787322588463,-0.556759387745552,0.0035868325393911297
7,169.6323100566864,1.8217644005648226,0.844675350189209,0.07337404006837948,True,60,auto,1,100,2400,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 100, 'n_estimators': 2400}",-0.688324135826745,-0.6784762971197867,-0.6932117918407006,-0.6997437063948017,-0.679766714637853,-0.6879045291639775,0.00804518252266225,61,-0.5606729609871799,-0.55803976971225,-0.5502227610310031,-0.5591737733013217,-0.5558819181026584,-0.5567982366268825,0.0036407303309031703
8,74.81184720993042,1.4748497759866062,0.38615922927856444,0.04126917396589037,True,60,auto,1,140,1200,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 140, 'n_estimators': 1200}",-0.702618598340337,-0.6912384900603852,-0.7070861723413788,-0.7126398899981402,-0.6949645554582667,-0.7017095412397016,0.007801856404580402,102,-0.6054949156364922,-0.6032629344087662,-0.5956133170463015,-0.6028892965610827,-0.5999123465195477,-0.6014345620344381,0.00341026986444211
9,98.3859260559082,1.283276834993951,0.5159080028533936,0.062080887682803,True,60,auto,1,140,1600,"{'bootstrap': True, 'max_depth': 60, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 140, 'n_estimators': 1600}",-0.702637363040802,-0.6923351130169323,-0.7067397367852711,-0.7120679253067596,-0.6959498134198908,-0.7019459903139312,0.007130703601196459,113,-0.6048648046882955,-0.6033466083401973,-0.5950489376261181,-0.6025466494998475,-0.6005632552908261,-0.6012740510890568,0.0034078080925454327
